Date;Date Value;Open;High;Low;Close;Adj Close;Volume
03.05.2017;42858;166.300003;166.500000;163.630005;164.710007;99.222221;33570362
04.05.2017;42859;164.619995;167.399994;163.779999;165.500000;99.698112;37623081
05.05.2017;42860;164.220001;166.600006;164.000000;165.800003;99.878838;35495640
10.05.2017;42865;167.000000;170.800003;166.410004;170.800003;102.890862;46474517
11.05.2017;42866;171.000000;172.389999;168.839996;169.970001;102.390862;56593680
12.05.2017;42867;169.750000;170.429993;166.850006;167.699997;101.023399;37355690
15.05.2017;42870;168.500000;171.679993;167.889999;171.350006;103.222198;47099900
16.05.2017;42871;170.970001;172.000000;169.979996;170.660004;102.806519;37206070
17.05.2017;42872;169.800003;170.630005;168.169998;169.240005;101.951126;35218265
18.05.2017;42873;168.410004;169.169998;164.699997;166.500000;100.300522;57482420
19.05.2017;42874;167.479996;170.080002;165.710007;168.869995;101.728210;36552331
22.05.2017;42877;170.500000;170.500000;167.139999;168.029999;101.222198;29679220
23.05.2017;42878;167.869995;168.300003;165.399994;166.309998;100.186066;39501154
24.05.2017;42879;166.800003;168.479996;162.509995;165.699997;99.818588;46892442
25.05.2017;42880;166.500000;166.949997;163.529999;164.050003;98.824631;34373452
26.05.2017;42881;163.800003;163.800003;160.619995;160.699997;96.806564;46063128
29.05.2017;42884;161.000000;164.220001;160.690002;163.899994;98.734268;28764933
30.05.2017;42885;163.149994;163.449997;161.169998;161.639999;97.372833;22672890
31.05.2017;42886;161.600006;161.600006;155.029999;155.929993;93.933098;74365820
01.06.2017;42887;156.399994;156.759995;152.720001;153.000000;92.168053;50591935
02.06.2017;42888;153.000000;157.139999;151.619995;157.139999;94.661995;65420920
05.06.2017;42891;157.100006;158.889999;154.429993;154.699997;93.192139;48595070
06.06.2017;42892;154.490005;156.000000;152.110001;152.800003;92.047554;34673925
07.06.2017;42893;153.300003;155.110001;151.750000;152.820007;92.059608;43663690
08.06.2017;42894;153.160004;153.429993;148.250000;151.929993;91.523476;67991952
09.06.2017;42895;151.410004;153.750000;150.119995;150.130005;94.157600;45313560
13.06.2017;42899;145.350006;147.300003;145.000000;146.000000;91.567375;53391917
14.06.2017;42900;145.649994;145.649994;142.809998;143.000000;89.685852;58227730
15.06.2017;42901;141.940002;142.210007;136.199997;139.000000;87.177155;183326250
16.06.2017;42902;139.649994;142.800003;139.020004;141.630005;88.826630;79690201
19.06.2017;42905;142.500000;145.149994;141.800003;145.000000;90.940201;55251985
20.06.2017;42906;145.199997;147.100006;143.500000;144.899994;90.877487;58990955
21.06.2017;42907;144.160004;144.990005;142.770004;143.490005;89.993172;48036301
22.06.2017;42908;142.389999;145.690002;141.779999;144.250000;90.469818;54359420
23.06.2017;42909;144.399994;146.000000;143.619995;144.100006;90.375740;42334000
26.06.2017;42912;144.850006;146.490005;143.809998;144.490005;90.620346;46189984
27.06.2017;42913;144.050003;147.199997;143.399994;147.100006;92.257271;51070900
28.06.2017;42914;146.199997;146.449997;144.710007;145.500000;91.253792;45975195
29.06.2017;42915;146.509995;146.830002;143.199997;143.800003;90.187599;48806780
30.06.2017;42916;143.199997;146.729996;142.880005;145.589996;91.310226;67210530
03.07.2017;42919;146.649994;148.300003;146.220001;147.500000;92.508133;38410910
04.07.2017;42920;147.500000;149.800003;147.110001;149.389999;93.693497;40165050
05.07.2017;42921;149.389999;149.789993;147.889999;148.960007;93.423805;48191260
06.07.2017;42922;149.199997;151.029999;148.899994;150.350006;94.295586;51568320
07.07.2017;42923;149.649994;152.500000;149.059998;152.160004;95.430756;57150370
10.07.2017;42926;153.070007;155.339996;152.949997;155.000000;97.211937;63627126
11.07.2017;42927;155.550003;157.000000;154.949997;156.910004;98.409843;57224687
12.07.2017;42928;157.529999;160.990005;157.500000;160.850006;100.880905;70426950
13.07.2017;42929;161.460007;162.619995;158.339996;159.940002;100.310173;71818770
14.07.2017;42930;159.899994;162.259995;159.429993;161.399994;101.225845;43599593
17.07.2017;42933;161.800003;163.100006;159.820007;161.979996;101.589600;40218964
18.07.2017;42934;162.000000;162.990005;160.880005;161.699997;101.414001;36470790
19.07.2017;42935;161.300003;164.339996;160.529999;164.339996;103.069740;56474420
20.07.2017;42936;164.059998;164.910004;163.470001;163.929993;102.812599;41944463
21.07.2017;42937;163.990005;163.990005;161.720001;162.100006;101.664871;35023110
24.07.2017;42940;161.210007;162.330002;158.600006;161.330002;101.181953;57495791
25.07.2017;42941;161.660004;162.300003;159.919998;160.220001;100.485786;43219118
26.07.2017;42942;160.710007;162.309998;160.119995;161.550003;101.319931;42613230
27.07.2017;42943;162.410004;166.000000;162.399994;166.000000;104.110863;55346876
28.07.2017;42944;165.369995;165.750000;163.149994;165.399994;103.734543;50132680
31.07.2017;42947;165.529999;167.350006;163.880005;164.529999;103.188896;55781552
01.08.2017;42948;165.500000;168.000000;165.300003;166.309998;104.305290;55355187
02.08.2017;42949;166.600006;169.940002;166.539993;169.899994;106.556831;55341012
03.08.2017;42950;170.000000;170.979996;169.169998;170.000000;106.619545;56318763
04.08.2017;42951;169.490005;170.000000;168.600006;169.729996;106.450203;27204000
07.08.2017;42954;170.470001;172.949997;170.380005;172.789993;108.369370;35534035
08.08.2017;42955;173.000000;175.880005;172.660004;175.750000;110.225792;50531372
09.08.2017;42956;174.800003;175.199997;172.800003;173.399994;108.751930;49021530
10.08.2017;42957;173.750000;174.160004;172.009995;172.199997;107.999321;30020500
11.08.2017;42958;171.259995;172.490005;168.639999;172.050003;107.905243;60812400
14.08.2017;42961;173.000000;173.770004;171.369995;172.509995;108.193756;30902101
15.08.2017;42962;172.309998;172.720001;170.460007;172.330002;108.080856;30385090
16.08.2017;42963;172.949997;175.300003;172.830002;173.050003;108.532433;41837702
